"t","v","k","N","Source","arith_family","arith_tier"
4,2,338,173,"Torres-Jimenez","terminal (search or published array)","TERMINAL_CLAIMED"
4,2,354,174,"Torres-Jimenez","terminal (search or published array)","TERMINAL_CLAIMED"
4,2,405,176,"Power CZ3-9.8-5.1","Power CZ","ARITH_OPEN"
4,2,486,180,"Power CZ3-9.8-6.1","Power CZ","ARITH_OPEN"
4,2,729,184,"Power CZ3-9.9","Power CZ","ARITH_OPEN"
4,2,792,188,"Power CZ3-11.7-8.1-9.1","Power CZ","ARITH_OPEN"
4,2,880,190,"Power CZ3-11.7-8.1-10.1","Power CZ","ARITH_OPEN"
4,2,968,192,"Power CZ3-11.8-8.1","Power CZ","ARITH_OPEN"
4,2,990,194,"Power CZ3-11.7-9.1-10.1","Power CZ","ARITH_OPEN"
4,2,1100,196,"Power CZ3-11.7-10.1-10.1","Power CZ","ARITH_OPEN"
4,2,1210,198,"Power CZ3-11.8-10.1","Power CZ","ARITH_OPEN"
4,2,1332,200,"Power CT11^3,+1c","Power CT","ARITHMETIC"
4,2,1368,216,"Power CZ3-13.3-12.6","Power CZ","ARITH_OPEN"
4,2,1476,224,"Power CZ3-13.4-12.5","Power CZ","ARITH_OPEN"
4,2,1596,233,"Power CZ3-13.5-12.4","Power CZ","ARITH_OPEN"
4,2,1728,242,"Power CZ3-13.6-12.3","Power CZ","ARITH_OPEN"
4,2,1872,251,"Power CZ3-13.7-12.1-12.1","Power CZ","ARITH_OPEN"
4,2,2028,260,"Power CZ3-13.8-12.1","Power CZ","ARITH_OPEN"
4,2,2304,263,"Power CZ3-16.7-12.1-12.1","Power CZ","ARITH_OPEN"
4,2,2496,271,"Power CZ3-16.7-12.1-13.1","Power CZ","ARITH_OPEN"
4,2,3395,272,"Power CZ4-13.0-12.12-4.1","Power CZ","ARITH_OPEN"
4,2,4248,276,"Power CZ4-13.0-12.12-5.1","Power CZ","ARITH_OPEN"
4,2,6781,280,"Power CZ4-13.0-12.12-8.1","Power CZ","ARITH_OPEN"
4,2,7625,284,"Power CZ4-13.0-12.12-9.1","Power CZ","ARITH_OPEN"
4,2,8466,286,"Power CZ4-13.0-12.12-10.1","Power CZ","ARITH_OPEN"
4,2,10000,288,"Power CT13^4S13c","Power CT","ARITHMETIC"
5,2,503,503,"Cyclic, derived (Colbourn-Keri)","terminal (search or published array)","TERMINAL_CLAIMED"
5,2,1230,615,"Derive from strength 6","Derive","ARITHMETIC"
5,2,1282,641,"Derive from strength 6","Derive","ARITHMETIC"
5,2,1318,659,"Derive from strength 6","Derive","ARITHMETIC"
5,2,1360,680,"Derive from strength 6","Derive","ARITHMETIC"
5,2,1366,683,"Derive from strength 6","Derive","ARITHMETIC"
5,2,1372,686,"Derive from strength 6","Derive","ARITHMETIC"
5,2,1380,690,"Derive from strength 6","Derive","ARITHMETIC"
5,2,1422,711,"Derive from strength 6","Derive","ARITHMETIC"
5,2,1426,713,"Derive from strength 6","Derive","ARITHMETIC"
5,2,1428,714,"Derive from strength 6","Derive","ARITHMETIC"
5,2,1438,719,"Derive from strength 6","Derive","ARITHMETIC"
5,2,1446,723,"Derive from strength 6","Derive","ARITHMETIC"
5,2,1458,729,"Derive from strength 6","Derive","ARITHMETIC"
5,2,1482,741,"Derive from strength 6","Derive","ARITHMETIC"
5,2,1486,743,"Derive from strength 6","Derive","ARITHMETIC"
5,2,1492,746,"Derive from strength 6","Derive","ARITHMETIC"
5,2,1498,749,"Derive from strength 6","Derive","ARITHMETIC"
5,2,1510,755,"Derive from strength 6","Derive","ARITHMETIC"
5,2,1522,761,"Derive from strength 6","Derive","ARITHMETIC"
5,2,1548,774,"Derive from strength 6","Derive","ARITHMETIC"
5,2,1558,779,"Derive from strength 6","Derive","ARITHMETIC"
5,2,1566,783,"Derive from strength 6","Derive","ARITHMETIC"
5,2,1570,785,"Derive from strength 6","Derive","ARITHMETIC"
5,2,1578,789,"Derive from strength 6","Derive","ARITHMETIC"
5,2,1582,791,"Derive from strength 6","Derive","ARITHMETIC"
5,2,1690,792,"Power CZ3-13.12-10.1","Power CZ","ARITH_OPEN"
5,2,1859,814,"Power CZ3-13.12-11.1","Power CZ","ARITH_OPEN"
5,2,2198,819,"Power CT13^3+1","Power CT","ARITHMETIC"
